Municipio,x,y
Adjuntas,166084,238375
Aguada,121632,258482
Aguadilla,127405,269460
Aguas Buenas,232359,246259
Aibonito,217882,232970
Añasco,127354,250469
Arecibo,174445,263476
Arroyo,239918,218303
Barceloneta,186590,267748
Barranquitas,213057,240779
Bayamón,228008,257164
Cabo Rojo,123686,223224
Caguas,240465,241948
Camuy,154887,264871
Canóvanas,257658,254937
Carolina,250351,260022
Cataño,230577,266909
Cayey,230046,229865
Ceiba,280853,246560
Ciales,191214,250436
Cidra,228820,237693
Coamo,207747,229223
Comerío,222373,243332
Corozal,211151,252129
Dorado,216367,266776
Fajardo,280686,253684
Florida,186590,259778
Guánica,148480,216620
Guayama,231742,219336
Guayanilla,162056,222972
Guaynabo,233743,256475
Gurabo,248011,247996
Hatillo,161632,263929
Hormigueros,127963,233432
Humacao,265909,234635
Isabela,139592,268353
Jayuya,183588,241769
Juana Díaz,193453,224115
Juncos,255467,243264
Lajas,135708,219919
Lares,154168,248233
Las Marías,141823,244771
Las Piedras,259663,239285
Loíza,256465,265639
Luquillo,274858,256472
Manatí,193996,264975
Maricao,146149,237569
Maunabo,254141,220510
Mayagüez,128519,241588
Moca,131584,260402
Morovis,201382,253542
Naguabo,271829,244113
Naranjito,219110,250378
Orocovis,199932,242236
Patillas,244559,222036
Peñuelas,169522,225205
Ponce,180811,225161
Quebradillas,147948,267186
Rincón,115632,255758
Río Grande,265487,256891
Sabana Grande,146013,227784
Salinas,218739,219770
San Germán,135956,230860
San Juan,239373,261311
San Lorenzo,248341,234889
San Sebastián,143148,254911
Santa Isabel,204712,217910
Toa Alta,219758,258580
Toa Baja,223128,266174
Trujillo Alto,245891,255729
Utuado,171543,248470
Vega Alta,210153,263735
Vega Baja,203739,265856
Villalba,195822,232641
Yabucoa,256820,226339
Yauco,155017,227323
